,Type,Price,Location,Area,Creation date,Amenities,Installment value
88,Residential Plot,7500000,Al Jalil Garden,10.0,1 month ago,1,
89,Residential Plot,7500000,Al Jalil Garden,10.0,1 month ago,1,
90,Residential Plot,3500000,Al Jalil Garden,3.0,1 month ago,5,
91,Residential Plot,4700000,Al Jalil Garden,5.0,1 month ago,1,
92,Residential Plot,7500000,Al Jalil Garden,10.0,1 month ago,1,
93,Residential Plot,4800000,Al Jalil Garden,5.0,3 months ago,6,
94,Commercial Plot,32500000,Al Jalil Garden,8.0,4 months ago,7,
95,Residential Plot,7000000,Al Jalil Garden,10.0,6 months ago,1,
96,Residential Plot,3100000,Al Jalil Garden,3.0,6 months ago,8,
97,Residential Plot,4200000,Al Jalil Garden,5.0,6 months ago,9,
98,Residential Plot,4800000,Al Jalil Garden,8.0,6 months ago,10,
99,Residential Plot,8400000,Al Jalil Garden,12.8,7 months ago,11,
100,Residential Plot,2500000,Al Jalil Garden,5.0,8 months ago,1,
101,Plot File,1600000,Al Jalil Garden,5.0,8 months ago,1,
102,Residential Plot,4200000,Al Jalil Garden,5.0,8 months ago,1,
103,Commercial Plot,17200000,Al Rehman Garden,4.0,3 weeks ago,12,7400000.0
104,Commercial Plot,9000000,Al Rehman Garden,2.0,3 weeks ago,12,3850000.0
105,Residential Plot,6500000,Al Rehman Garden,8.0,3 weeks ago,13,
106,Residential Plot,2500000,Al Rehman Garden,3.0,3 weeks ago,13,
107,Residential Plot,4000000,Al Rehman Garden,5.0,3 weeks ago,13,
108,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,1,2110000.0
109,Residential Plot,3500000,Al Rehman Garden,4.3,5 days ago,1,
110,Residential Plot,2375000,Al Rehman Garden,5.0,6 days ago,1,
111,Residential Plot,2500000,Al Rehman Garden,5.0,6 days ago,1,1545000.0
113,Residential Plot,6400000,Al Rehman Garden,8.0,3 days ago,1,
114,Residential Plot,3800000,Al Rehman Garden,5.0,5 days ago,12,
115,Residential Plot,1785000,Al Rehman Garden,3.0,2 days ago,1,1170000.0
116,Residential Plot,1695000,Al Rehman Garden,3.0,2 days ago,1,1115000.0
117,Residential Plot,3300000,Al Rehman Garden,5.0,2 days ago,1,2110000.0
118,Residential Plot,3000000,Al Rehman Garden,3.0,3 days ago,14,2050150.0
119,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,1,
120,Residential Plot,8000000,Al Rehman Garden,10.0,3 days ago,1,
121,Residential Plot,7350000,Al Rehman Garden,7.0,3 days ago,1,
122,Residential Plot,4250000,Al Rehman Garden,5.0,3 days ago,15,
123,Residential Plot,4250000,Al Rehman Garden,5.0,3 days ago,15,
124,Residential Plot,3850000,Al Rehman Garden,5.0,3 days ago,1,
125,Residential Plot,4800000,Al Rehman Garden,4.0,3 days ago,1,
126,Residential Plot,2400000,Al Rehman Garden,3.0,3 days ago,1,
127,Residential Plot,3050000,Al Rehman Garden,5.0,3 days ago,1,1625000.0
128,Residential Plot,7500000,Al Rehman Garden,7.0,3 weeks ago,13,
129,Residential Plot,7200000,Al Rehman Garden,7.0,3 weeks ago,13,
130,Commercial Plot,7000000,Al Rehman Garden,1.3,3 weeks ago,12,
131,Residential Plot,9660000,Al Rehman Garden,14.0,4 weeks ago,1,
132,Residential Plot,10900000,Al Rehman Garden,10.0,4 weeks ago,1,
133,Residential Plot,6000000,Al Rehman Garden,6.0,1 week ago,1,
134,Residential Plot,3300000,Al Rehman Garden,5.0,1 week ago,16,
135,Residential Plot,1785000,Al Rehman Garden,3.5,1 week ago,17,
136,Commercial Plot,7000000,Al Rehman Garden,2.0,2 weeks ago,1,
137,Residential Plot,11000000,Al Rehman Garden,10.0,5 days ago,1,
138,Residential Plot,4300000,Al Rehman Garden,5.0,5 days ago,1,
139,Residential Plot,4000000,Al Rehman Garden,5.0,5 days ago,1,
140,Plot File,285000,Al Rehman Garden,3.5,3 days ago,1,
141,Residential Plot,9000000,Al Rehman Garden,7.0,3 days ago,1,
142,Residential Plot,8200000,Al Rehman Garden,8.0,3 days ago,1,
143,Residential Plot,4300000,Al Rehman Garden,5.0,4 days ago,1,
144,Residential Plot,2400000,Al Rehman Garden,3.0,4 days ago,1,
145,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,18,
146,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,18,
147,Residential Plot,4960000,Al Rehman Garden,8.0,3 days ago,19,2800000.0
148,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,20,2110000.0
149,Residential Plot,2400000,Al Rehman Garden,3.5,3 days ago,1,1520000.0
150,Plot File,650000,Al Rehman Garden,14.0,3 days ago,1,
151,Residential Plot,1900000,Al Rehman Garden,5.0,3 days ago,1,
152,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
153,Plot File,225000,Al Rehman Garden,5.0,6 days ago,1,
154,Plot File,150000,Al Rehman Garden,3.5,6 days ago,1,
155,Plot File,150000,Al Rehman Garden,3.5,6 days ago,1,
156,Residential Plot,2450000,Al Rehman Garden,3.0,1 week ago,1,
157,Residential Plot,2500000,Al Rehman Garden,5.0,1 week ago,1,
158,Residential Plot,1785000,Al Rehman Garden,3.5,1 week ago,1,
159,Residential Plot,3750000,Al Rehman Garden,5.0,2 weeks ago,1,
160,Residential Plot,4000000,Al Rehman Garden,5.0,2 weeks ago,1,
161,Residential Plot,3900000,Al Rehman Garden,5.0,2 weeks ago,1,
162,Plot File,340000,Al Rehman Garden,5.0,2 weeks ago,1,
163,Plot File,7070000,Al Rehman Garden,4.0,2 weeks ago,1,
164,Plot File,285000,Al Rehman Garden,3.5,2 weeks ago,1,
165,Residential Plot,4100000,Al Rehman Garden,5.0,4 days ago,1,
166,Residential Plot,4000000,Al Rehman Garden,5.0,4 days ago,1,
167,Residential Plot,4600000,Al Rehman Garden,4.0,4 days ago,1,
168,Residential Plot,7500000,Al Rehman Garden,6.0,4 days ago,1,
169,Residential Plot,6400000,Al Rehman Garden,5.0,4 days ago,1,
170,Residential Plot,3300000,Al Rehman Garden,5.0,3 days ago,1,
171,Residential Plot,1785000,Al Rehman Garden,3.5,3 days ago,1,
172,Plot File,340000,Al Rehman Garden,5.0,3 days ago,1,
173,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
174,Residential Plot,5500000,Al Rehman Garden,5.0,3 days ago,1,
175,Commercial Plot,7070000,Al Rehman Garden,4.0,3 days ago,1,
176,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
177,Plot File,285000,Al Rehman Garden,3.5,3 days ago,1,
178,Plot File,340000,Al Rehman Garden,5.0,2 weeks ago,1,
179,Plot File,285000,Al Rehman Garden,3.5,2 weeks ago,1,
180,Residential Plot,2500000,Al Rehman Garden,5.0,2 weeks ago,1,
181,Residential Plot,1785000,Al Rehman Garden,3.5,2 weeks ago,1,
182,Residential Plot,6500000,Al Rehman Garden,10.0,2 weeks ago,12,
183,Residential Plot,7000000,Al Rehman Garden,20.0,2 weeks ago,21,3750000.0
184,Residential Plot,5250000,Al Rehman Garden,14.0,2 weeks ago,21,3020000.0
185,Plot File,1785000,Al Rehman Garden,3.6,2 weeks ago,1,
186,Residential Plot,2500000,Al Rehman Garden,5.0,2 weeks ago,1,
187,Plot File,2500000,Al Rehman Garden,5.0,2 weeks ago,1,
188,Residential Plot,2500000,Al Rehman Garden,5.0,2 weeks ago,1,
189,Plot File,1785000,Al Rehman Garden,3.6,2 weeks ago,1,
190,Residential Plot,5500000,Al Rehman Garden,5.0,4 days ago,1,
191,Residential Plot,7700000,Al Rehman Garden,7.0,4 days ago,1,
192,Residential Plot,2900000,Al Rehman Garden,3.0,4 days ago,1,
193,Residential Plot,6900000,Al Rehman Garden,6.0,4 days ago,1,
194,Residential Plot,5800000,Al Rehman Garden,5.0,4 days ago,1,
195,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
196,Plot File,340000,Al Rehman Garden,5.0,3 days ago,1,
197,Plot File,285000,Al Rehman Garden,3.5,3 days ago,1,
198,Residential Plot,1785000,Al Rehman Garden,3.5,3 days ago,1,
199,Commercial Plot,7070000,Al Rehman Garden,4.0,3 days ago,1,
200,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
201,Residential Plot,2500000,Al Rehman Garden,5.0,3 days ago,1,
202,Plot File,340000,Al Rehman Garden,5.0,3 days ago,1,
203,Residential Plot,1785000,Al Rehman Garden,3.5,2 weeks ago,1,
