,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
30,Residential Plot,PKR36.5 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service",,,
31,Residential Plot,PKR33 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
32,Residential Plot,PKR39 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
33,Residential Plot,PKR33 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
34,Residential Plot,PKR95 Lakh,"New Lahore City, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
35,Residential Plot,PKR45 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
36,Residential Plot,PKR35 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
37,Residential Plot,PKR43 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
38,Residential Plot,PKR1.45 Crore,"New Lahore City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
39,Residential Plot,PKR44 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
40,Residential Plot,PKR35 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",,,
41,Residential Plot,PKR54 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Water Supply",,,
42,Residential Plot,PKR27 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
43,Residential Plot,PKR30 Lakh,"New Lahore City, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
44,Residential Plot,PKR65 Lakh,"New Lahore City, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
45,Residential Plot,PKR36 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
46,Residential Plot,PKR45 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
47,Residential Plot,PKR22 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
48,Commercial Plot,PKR2 Crore,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
49,Residential Plot,PKR25 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
50,Residential Plot,PKR35 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
51,Residential Plot,PKR48 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
52,Plot File,PKR4 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
53,Residential Plot,PKR95 Lakh,"New Lahore City, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,,,
54,Residential Plot,PKR37 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
55,Residential Plot,PKR34 Lakh,"New Lahore City, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
56,Residential Plot,PKR22 Lakh,"New Lahore City, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
