,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
184,Plot File,PKR31 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,4 days ago,
185,Plot File,PKR31 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,4 days ago,
186,Plot File,PKR19 Lakh,"State Life Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,
187,Plot File,PKR18.5 Lakh,"State Life Housing Society, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,
188,Plot File,PKR30 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,4 days ago,
189,Plot File,PKR30.5 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,4 days ago,
190,Plot File,PKR30 Lakh,"State Life Housing Society, Lahore, Punjab",-,14 Marla,For Sale,-,4 days ago,
191,Residential Plot,PKR1.15 Crore,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
192,Residential Plot,PKR1.2 Crore,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
193,Residential Plot,PKR2.5 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
194,Residential Plot,PKR1.85 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
195,Residential Plot,PKR1.65 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
196,Residential Plot,PKR1.85 Crore,"State Life Housing Society, Lahore, Punjab",-,9 Marla,For Sale,-,5 days ago,
197,Residential Plot,PKR1.85 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
198,Residential Plot,PKR2.3 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
199,Residential Plot,PKR2.5 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
200,Residential Plot,PKR70 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
201,Residential Plot,PKR42 Lakh,"State Life Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
202,Residential Plot,PKR1.65 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
203,Residential Plot,PKR64 Lakh,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
204,Residential Plot,PKR1.8 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
205,Commercial Plot,PKR2.4 Crore,"State Life Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,5 days ago,
206,Commercial Plot,PKR2.1 Crore,"State Life Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,5 days ago,
207,Commercial Plot,PKR2.5 Crore,"State Life Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,5 days ago,
208,Residential Plot,PKR2.5 Crore,"State Life Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,5 days ago,
209,Commercial Plot,PKR2.3 Crore,"State Life Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,5 days ago,
210,Residential Plot,PKR2.1 Crore,"State Life Housing Society, Lahore, Punjab",-,17 Marla,For Sale,-,5 days ago,
211,Residential Plot,PKR2.7 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
212,Residential Plot,PKR2.7 Crore,"State Life Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,
213,Residential Plot,PKR1.95 Crore,"State Life Housing Society, Lahore, Punjab",-,10 Marla,For Sale,-,5 days ago,
214,Residential Plot,PKR1.8 Crore,"State Life Housing Society, Lahore, Punjab",-,9.5 Marla,For Sale,-,5 days ago,
