,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
82,Residential Plot,PKR27 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,,,,
83,Commercial Plot,PKR1.5 Crore,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,,,,
84,Commercial Plot,PKR1.2 Crore,"Jati Umra Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 months ago,,,,
85,Residential Plot,PKR1.8 Crore,"Jati Umra Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 months ago,,,,
86,Residential Plot,PKR63 Lakh,"Jati Umra Road, Lahore, Punjab",-,7 Marla,For Sale,-,2 months ago,,,,
87,Residential Plot,PKR27 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,,,,
88,Residential Plot,PKR45 Lakh,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,,,,
89,Plot File,PKR51 Lakh,"Jati Umra Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 months ago,,,,
90,Plot File,PKR76.5 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,,,,
91,Plot File,PKR2.7 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,,,,
92,Commercial Plot,PKR51 Lakh,"Jati Umra Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 months ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
93,Residential Plot,PKR40 Lakh,"Jati Umra Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
94,Residential Plot,PKR27 Lakh,"Jati Umra Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas",,,
