,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
27,Residential Plot,PKR1.35 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
28,Residential Plot,PKR3.8 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
29,Residential Plot,PKR1.5 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
30,Residential Plot,PKR3.95 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
31,Residential Plot,PKR2.25 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
32,Residential Plot,PKR1.15 Crore,"Wapda Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
33,Residential Plot,PKR1.45 Crore,"Wapda Town, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
34,Residential Plot,PKR1.9 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,
35,Residential Plot,PKR3 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,5 days ago,Water Supply
36,Residential Plot,PKR1.3 Crore,"Wapda Town, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
37,Residential Plot,PKR1.8 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants"
38,Residential Plot,PKR3.75 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
39,Residential Plot,PKR3 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
40,Residential Plot,PKR3.4 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
41,Commercial Plot,PKR9 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
42,Residential Plot,PKR3 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
43,Commercial Plot,PKR15 Crore,"Wapda Town, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
44,Residential Plot,PKR3.25 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
45,Residential Plot,PKR3.75 Crore,"Wapda Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
46,Residential Plot,PKR3.5 Crore,"Wapda Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
