,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
72,Residential Plot,PKR9.45 Lakh,PKR1.75 Lakh,PKR6.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff"
73,Residential Plot,PKR9.45 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
74,Residential Plot,PKR17.5 Lakh,PKR3 Lakh,PKR11 Thousand,60 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
75,Plot File,PKR15 Lakh,PKR2.75 Lakh,PKR9.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
76,Plot File,PKR2 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
77,Plot File,PKR8 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 months ago,
78,Plot File,PKR1.75 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,6 months ago,
79,Plot File,PKR9.45 Lakh,PKR1.75 Lakh,PKR6.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,8 months ago,
80,Plot File,PKR9.45 Lakh,PKR1.75 Lakh,PKR6.5 Thousand,48 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,3 Marla,For Sale,-,8 months ago,
81,Plot File,PKR15 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
82,Residential Plot,PKR17.65 Lakh,PKR2.98 Lakh,PKR10 Thousand,30 Months,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,9 months ago,
83,Plot File,PKR3.5 Lakh,,,,"Lahore - Islamabad Motorway, Lahore, Punjab",-,5 Marla,For Sale,-,9 months ago,
