,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
160,Residential Plot,PKR14.5 Lakh,PKR1.5 Lakh,PKR9.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
161,Plot File,PKR14.5 Lakh,PKR1.5 Lakh,PKR9.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
162,Residential Plot,PKR17.5 Lakh,PKR1.75 Lakh,PKR11 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
163,Plot File,PKR24.5 Lakh,PKR2.5 Lakh,PKR14 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
164,Plot File,PKR17.5 Lakh,PKR1.75 Lakh,PKR11 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
165,Plot File,PKR38 Lakh,PKR4 Lakh,PKR21 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
166,Residential Plot,PKR24.5 Lakh,PKR2.5 Lakh,PKR14 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
167,Plot File,PKR70 Lakh,PKR7 Lakh,PKR45 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
168,Residential Plot,PKR45 Lakh,PKR4.5 Lakh,PKR28 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
169,Residential Plot,PKR75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
170,Plot File,PKR14.5 Lakh,PKR1.5 Lakh,PKR9.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,3 weeks ago,
171,Plot File,PKR4 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10.1 Marla,For Sale,-,3 weeks ago,
172,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
173,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
174,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,
175,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
176,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 weeks ago,
177,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
178,Residential Plot,PKR24.95 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,"Sewerage,Electricity,Water Supply"
179,Residential Plot,PKR80 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 month ago,"Sewerage,Electricity,Water Supply"
180,Residential Plot,PKR65 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
181,Residential Plot,PKR30 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
182,Residential Plot,PKR55 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
183,Residential Plot,PKR40 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
184,Residential Plot,PKR55 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
185,Plot File,PKR2 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
186,Residential Plot,PKR16 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,
187,Residential Plot,PKR25 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
188,Plot File,PKR2.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
189,Residential Plot,PKR24.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
190,Plot File,PKR4.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 month ago,
191,Residential Plot,PKR26.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
192,Plot File,PKR1.45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,
193,Residential Plot,PKR24.5 Lakh,PKR2.5 Lakh,PKR15 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,
194,,,,,,,,,,,,
195,Plot File,PKR21 Lakh,PKR2 Lakh,PKR13 Thousand,50 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
196,Residential Plot,PKR21 Lakh,PKR2 Lakh,PKR13 Thousand,50 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 months ago,
197,Residential Plot,PKR18 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
198,Plot File,PKR15.7 Lakh,PKR1.75 Lakh,PKR11 Thousand,50 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 months ago,
199,Plot File,PKR1.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
200,Plot File,PKR7.7 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,7 months ago,
201,Commercial Plot,PKR32 Lakh,PKR8 Lakh,PKR30 Thousand,36 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,2 Marla,For Sale,-,7 months ago,
202,Plot File,PKR2.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,7 months ago,
203,Plot File,PKR3.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 months ago,
204,Plot File,PKR2.3 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 months ago,
205,Plot File,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
206,Residential Plot,PKR24.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,
207,Plot File,PKR6.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,7 months ago,
208,Plot File,PKR2.35 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,
209,Residential Plot,PKR80 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,8 Marla,For Sale,-,7 months ago,"Possesion,Corner,Park Facing,File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
210,Plot File,PKR4 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,
211,Residential Plot,PKR13 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,
212,Residential Plot,PKR34 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,8 months ago,
213,Plot File,PKR7.3 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,8 months ago,
214,Plot File,PKR1.8 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
215,Plot File,PKR14.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,8 months ago,
216,Plot File,PKR2 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,
217,Plot File,PKR1.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,9 months ago,
218,Plot File,PKR7.87 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,9 months ago,
219,Plot File,PKR9 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 year ago,
