,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
27,Commercial Plot,PKR40 Lakh,PKR8 Lakh,PKR30 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,2 Marla,For Sale,-,6 days ago,
28,Residential Plot,PKR47.5 Lakh,PKR9.5 Lakh,PKR20 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
29,Plot File,PKR5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
30,Residential Plot,PKR21.9 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
31,Residential Plot,PKR34.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
32,Plot File,PKR7.5 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
33,Residential Plot,PKR85 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
34,Residential Plot,PKR1.6 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
35,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
36,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
37,Residential Plot,PKR45 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
38,Plot File,PKR12.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,
39,Residential Plot,PKR75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
40,Plot File,PKR6.75 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
41,Plot File,PKR24 Lakh,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
42,Residential Plot,PKR47.5 Lakh,PKR9.5 Lakh,PKR20 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,
43,Residential Plot,PKR95 Lakh,PKR19 Lakh,PKR40 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,
44,Commercial Plot,PKR40 Lakh,PKR8 Lakh,PKR30 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,2 Marla,For Sale,-,2 days ago,
45,Plot File,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,
46,Commercial Plot,PKR2 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Sui Gas,Boundary Wall,Security Staff"
47,Commercial Plot,PKR2 Crore,,,,"Lahore - Jaranwala Road, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,"Sewerage,Electricity,Sui Gas,Boundary Wall,Security Staff"
48,Residential Plot,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
49,Residential Plot,PKR14.25 Lakh,PKR2.85 Lakh,PKR7.5 Thousand,60 Months,"Lahore - Jaranwala Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
