,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
2538,Residential Plot,PKR8.75 Crore,"Bahria Town, Lahore, Punjab",-,2 Kanal,For Sale,-,2 days ago,,,,
2539,Residential Plot,PKR2.9 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2540,Residential Plot,PKR2.6 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2541,Residential Plot,PKR1.55 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
2542,Commercial Plot,PKR5 Crore,"Bahria Town, Lahore, Punjab",-,5.3 Marla,For Sale,-,2 days ago,,,,
2543,Residential Plot,PKR3.3 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2544,Residential Plot,PKR1.65 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
2545,Residential Plot,PKR3.75 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2546,Residential Plot,PKR3.2 Crore,"Bahria Town, Lahore, Punjab",-,18 Marla,For Sale,-,2 days ago,,,,
2547,Residential Plot,PKR2.85 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
2548,Residential Plot,PKR20.2 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Possesion,Water Supply",,,
2549,Residential Plot,PKR1.1 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
2550,Residential Plot,PKR1.15 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2551,Residential Plot,PKR1.15 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply",,,
2552,Commercial Plot,PKR3.2 Crore,"Bahria Town, Lahore, Punjab",-,8 Marla,For Sale,-,3 weeks ago,,,,
2553,Residential Plot,PKR2.35 Crore,"Bahria Town, Lahore, Punjab",-,13 Marla,For Sale,-,3 weeks ago,,,,
2554,Residential Plot,PKR2.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
2555,Residential Plot,PKR1.2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2556,Residential Plot,PKR88 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
2557,Residential Plot,PKR1.1 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2558,Residential Plot,PKR1.9 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2559,Residential Plot,PKR1.45 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,,,,
2560,Residential Plot,PKR1.1 Crore,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,Security Staff,,,
2561,Residential Plot,PKR70.5 Lakh,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2562,Residential Plot,PKR29.5 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
2563,Residential Plot,PKR1.2 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2564,Residential Plot,PKR3.25 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,Security Staff,,,
2565,Residential Plot,PKR2.65 Crore,"Bahria Town, Lahore, Punjab",-,1.1 Kanal,For Sale,-,3 weeks ago,,,,
2566,Residential Plot,PKR1.8 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
2567,Residential Plot,PKR1.52 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff",,,
2568,Residential Plot,PKR1.2 Crore,"Bahria Town, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Security Staff",,,
2569,Residential Plot,PKR55 Lakh,"Bahria Town, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,Security Staff,,,
2570,Residential Plot,PKR2.4 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,,,,
2571,Residential Plot,PKR3.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,Balloted,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2572,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2573,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2574,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2575,Residential Plot,PKR3.5 Crore,"Bahria Town, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,"Possesion,Balloted,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
2576,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2577,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2578,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2579,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2580,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2581,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2582,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2583,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2584,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2585,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2586,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2587,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2588,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2589,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2590,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2591,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2592,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
2593,Residential Plot,PKR16.6 Crore,"Bahria Town, Lahore, Punjab",-,4.1 Kanal,For Sale,-,3 weeks ago,"Balloted,Sewerage",,,
