,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
40,Plot File,PKR4.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
41,Commercial Plot,PKR1.8 Crore,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5.3 Marla,For Sale,-,1 month ago,,,,
42,Plot File,PKR6.95 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,,,,
43,Commercial Plot,PKR1.8 Crore,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5.3 Marla,For Sale,-,1 month ago,,,,
44,Plot File,PKR6.95 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,,,,
45,Residential Plot,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,,,,
46,Commercial Plot,PKR1.8 Crore,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5.3 Marla,For Sale,-,2 months ago,,,,
47,Plot File,PKR4.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,,,,
48,Plot File,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 months ago,,PKR6.95 Lakh,PKR1.28 Lakh,8 Months
49,Plot File,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,3 months ago,,PKR7.15 Lakh,PKR1.27 Lakh,24 Months
50,Plot File,PKR37.75 Lakh,"Liberty Lands Housing Scheme, Lahore, Punjab",-,5 Marla,For Sale,-,8 months ago,,PKR6.95 Lakh,PKR3.85 Lakh,8 Months
