,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
43,Residential Plot,PKR2.9 Crore,"Eden, Lahore, Punjab",-,16 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
44,Residential Plot,PKR2.95 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
45,Residential Plot,PKR2.9 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
46,Residential Plot,PKR2.7 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
47,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
48,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
49,Residential Plot,PKR3.05 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
50,Residential Plot,PKR15.4 Crore,"Eden, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
51,Residential Plot,PKR2.7 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools",,,
52,Residential Plot,PKR36 Lakh,"Eden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
53,Residential Plot,PKR24 Lakh,"Eden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
54,Residential Plot,PKR2.7 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Security Staff",,,
55,Residential Plot,PKR5.5 Crore,"Eden, Lahore, Punjab",-,1.6 Kanal,For Sale,-,3 weeks ago,"Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
56,Residential Plot,PKR1.9 Crore,"Eden, Lahore, Punjab",6,10 Marla,For Sale,5,3 weeks ago,,,,
57,Residential Plot,PKR3.2 Crore,"Eden, Lahore, Punjab",-,1.2 Kanal,For Sale,-,4 weeks ago,,,,
58,Residential Plot,PKR58 Lakh,"Eden, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
59,Residential Plot,PKR2.7 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,4 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
60,Residential Plot,PKR64 Lakh,"Eden, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,,,,
61,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
62,Residential Plot,PKR1.95 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
63,Residential Plot,PKR1.9 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
64,Residential Plot,PKR2.1 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
65,Residential Plot,PKR3 Crore,"Eden, Lahore, Punjab",-,1 Kanal,For Sale,-,1 day ago,,,,
66,Commercial Plot,PKR15 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,,,
67,Residential Plot,PKR69 Lakh,"Eden, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
68,Commercial Plot,PKR2.75 Crore,"Eden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,,,,
69,Residential Plot,PKR1.85 Crore,"Eden, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
