,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
35,Residential Plot,PKR1.65 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,1 Kanal,For Sale,-,8 hours ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
36,Residential Plot,PKR72 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
37,Commercial Plot,PKR37 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2.5 Marla,For Sale,-,2 weeks ago,
38,Residential Plot,PKR1 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
39,Residential Plot,PKR1 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
40,Residential Plot,PKR95 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
41,Residential Plot,PKR95 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
42,Residential Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
43,Residential Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
44,Plot File,PKR51 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
45,Plot File,PKR51 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
46,Plot File,PKR51 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
47,Plot File,PKR51 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
48,Plot File,PKR51 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
49,Commercial Plot,PKR1.1 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2.5 Marla,For Sale,-,2 weeks ago,
50,Residential Plot,PKR75 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,2 weeks ago,
51,Residential Plot,PKR75 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,2 weeks ago,
52,Residential Plot,PKR1.15 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
53,Commercial Plot,PKR37 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2.5 Marla,For Sale,-,2 weeks ago,
54,Residential Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
55,Residential Plot,PKR1 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
56,Residential Plot,PKR95 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
57,Residential Plot,PKR95 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
58,Commercial Plot,PKR1.65 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2 Marla,For Sale,-,3 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Security Staff"
59,Commercial Plot,PKR2.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
60,Commercial Plot,PKR7.5 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,8 Marla,For Sale,-,1 month ago,"Possesion,Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
61,Plot File,PKR37 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2.5 Marla,For Sale,-,1 month ago,
62,Plot File,PKR47 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
63,Commercial Plot,PKR1.5 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,3.2 Marla,For Sale,-,1 month ago,
64,Commercial Plot,PKR1.1 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,2.5 Marla,For Sale,-,1 month ago,
65,Residential Plot,PKR95 Lakh,"Bankers Co-operative Housing Society, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,
66,Residential Plot,PKR1.2 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,5 Marla,For Sale,-,1 month ago,
67,Residential Plot,PKR1.6 Crore,"Bankers Co-operative Housing Society, Lahore, Punjab",-,18 Marla,For Sale,-,3 months ago,
