,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
42,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Water Supply,Sui Gas,Boundary Wall",PKR3 Lakh,PKR15 Thousand,36 Months
43,Residential Plot,PKR10.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
44,Residential Plot,PKR65 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,PKR7 Lakh,PKR55 Thousand,36 Months
45,Residential Plot,PKR34 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,PKR5 Lakh,PKR35 Thousand,36 Months
46,Residential Plot,PKR26.85 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
47,Commercial Plot,PKR1.75 Crore,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,7 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
48,Residential Plot,PKR45 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
49,Plot File,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
50,Residential Plot,PKR66 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,,,,
51,Residential Plot,PKR96 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
52,Residential Plot,PKR40 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
53,Residential Plot,PKR10.5 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,,PKR2 Lakh,PKR8.5 Thousand,36 Months
54,Commercial Plot,PKR69 Lakh,"GT Road, Lahore, Punjab",-,2.7 Marla,For Sale,-,2 weeks ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
55,Residential Plot,PKR10 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,11 hours ago,,PKR2 Lakh,PKR8.5 Thousand,36 Months
56,Commercial Plot,PKR89.5 Lakh,"GT Road, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,,,,
57,Residential Plot,PKR21 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",,,
58,Commercial Plot,PKR1.68 Crore,"GT Road, Lahore, Punjab",-,6 Marla,For Sale,-,3 weeks ago,"Possesion,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall",,,
59,Plot File,PKR3 Lakh,"GT Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,,,,
60,Plot File,PKR4 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,5 days ago,,,,
61,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 hours ago,,PKR3 Lakh,PKR15 Thousand,36 Months
62,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,"File,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff",PKR3 Lakh,PKR15 Thousand,36 Months
63,Plot File,PKR34.9 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,,,
64,Commercial Plot,PKR1.79 Crore,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,,,,
65,Residential Plot,PKR26.85 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
66,Residential Plot,PKR34 Lakh,"GT Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,,PKR5 Lakh,PKR35 Thousand,36 Months
67,Residential Plot,PKR27 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,,PKR4 Lakh,PKR25 Thousand,36 Months
68,Residential Plot,PKR34 Lakh,"GT Road, Lahore, Punjab",-,8 Marla,For Sale,-,2 days ago,,PKR5 Lakh,PKR35 Thousand,36 Months
69,Residential Plot,PKR65 Lakh,"GT Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 days ago,,,,
70,Residential Plot,PKR17.5 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,PKR3 Lakh,PKR15 Thousand,36 Months
71,Plot File,PKR3 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
72,Plot File,PKR3 Lakh,"GT Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,,,,
