,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
66,Residential Plot,PKR74.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
67,Plot File,PKR2.75 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,5 Marla,For Sale,-,5 days ago,
68,Residential Plot,PKR21.5 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Park Facing,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Security Staff"
69,Commercial Plot,PKR7.5 Crore,,,,"Main Canal Bank Road, Lahore, Punjab",-,2.3 Kanal,For Sale,-,5 days ago,
70,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
71,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
72,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
73,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
74,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
75,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
76,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
77,Plot File,PKR6.95 Lakh,,,,"Main Canal Bank Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,
