,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
34,Commercial Plot,PKR7.5 Crore,"Multan Road, Lahore, Punjab",-,9 Marla,For Sale,-,3 days ago,,,,
35,Residential Plot,PKR54 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
36,Plot File,PKR5.4 Lakh,"Multan Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
37,Plot File,PKR3.25 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,,,,
38,Commercial Plot,PKR60 Lakh,"Multan Road, Lahore, Punjab",-,3 Marla,For Sale,-,5 days ago,"Possesion,File,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff",PKR9 Lakh,PKR60 Thousand,40 Months
39,Agricultural Land,PKR63.9 Crore,"Multan Road, Lahore, Punjab",-,"1,704 Kanal",For Sale,-,6 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
40,Agricultural Land,PKR2.38 Arab,"Multan Road, Lahore, Punjab",-,238 Kanal,For Sale,-,6 days ago,"Possesion,Electricity,Sui Gas,Irrigation,Tube Wells,Accessible by Road,Perimeter Fencing,Land Fertility,Boundary Lines,Nearby Water Resources,Other Land Features,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities",,,
41,Industrial Land,PKR35 Crore,"Multan Road, Lahore, Punjab",-,100 Kanal,For Sale,-,6 days ago,,,,
42,Industrial Land,PKR14 Crore,"Multan Road, Lahore, Punjab",-,40 Kanal,For Sale,-,1 week ago,,,,
43,,,,,,,,,,,,
44,Commercial Plot,PKR4.4 Crore,"Multan Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
