,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
41,Commercial Plot,PKR41.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,1.7 Marla,For Sale,-,1 week ago,,,,
42,Plot File,PKR7.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
43,Plot File,PKR2 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
44,Residential Plot,PKR44.1 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
45,Plot File,PKR7.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
46,Residential Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
47,Residential Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
48,Residential Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
49,Residential Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
50,Residential Plot,PKR22.4 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
51,Residential Plot,PKR22.4 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
52,Residential Plot,PKR22.4 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
53,Plot File,PKR4.48 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
54,Commercial Plot,PKR55 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,2 Marla,For Sale,-,1 week ago,,,,
55,Plot File,PKR12.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
56,Plot File,PKR6.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
57,Plot File,PKR6.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
58,Plot File,PKR10.08 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,,,
59,Plot File,PKR6.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
60,Plot File,PKR8.82 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
61,Plot File,PKR12.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
62,Plot File,PKR6.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
63,Plot File,PKR6.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
64,Plot File,PKR10.08 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,,,
65,Plot File,PKR8.82 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
66,Plot File,PKR4.69 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
67,Residential Plot,PKR23.47 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
68,Residential Plot,PKR62.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
69,Plot File,PKR6.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
70,Residential Plot,PKR31.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
71,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
72,Residential Plot,PKR50.4 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,,,
73,Residential Plot,PKR44.1 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
74,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
75,Residential Plot,PKR23.47 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
76,Plot File,PKR4.69 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
77,Residential Plot,PKR62.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
78,Residential Plot,PKR31.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
79,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
80,Residential Plot,PKR50.4 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,8 Marla,For Sale,-,1 week ago,,,,
81,Residential Plot,PKR44.1 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,,,,
82,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,1 week ago,,,,
83,Plot File,PKR4.69 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
84,Residential Plot,PKR23.47 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,,,,
85,Plot File,PKR22.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,PKR3.5 Lakh,PKR15 Thousand,60 Months
86,Plot File,PKR14.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,PKR2 Lakh,PKR12.5 Thousand,60 Months
87,Residential Plot,PKR14.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,,,,
88,Residential Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
89,Residential Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
90,Residential Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
91,Residential Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
92,Residential Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 weeks ago,,,,
93,Residential Plot,PKR35 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
94,Residential Plot,PKR35 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,,,,
95,Commercial Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,1.3 Marla,For Sale,-,1 month ago,,,,
96,Commercial Plot,PKR28 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,2 Marla,For Sale,-,1 month ago,,,,
97,Commercial Plot,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,1.3 Marla,For Sale,-,1 month ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants",,,
98,Residential Plot,PKR21 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,1 month ago,,,,
99,Residential Plot,PKR34 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,46 minutes ago,,,,
100,Plot File,PKR30 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,47 minutes ago,,PKR7.5 Lakh,PKR25 Thousand,42 Months
101,Residential Plot,PKR27.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 months ago,"Possesion,Sewerage,Electricity,Water Supply",,,
102,Residential Plot,PKR33 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 months ago,"Possesion,Sewerage,Electricity,Water Supply",,,
103,Residential Plot,PKR17.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 months ago,"Possesion,Sewerage,Electricity,Water Supply",,,
104,Residential Plot,PKR27.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 months ago,"Possesion,Sewerage,Electricity,Water Supply",,,
105,Residential Plot,PKR33 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 months ago,"Possesion,Sewerage,Electricity,Water Supply",,,
106,Residential Plot,PKR26.75 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,5 months ago,"Possesion,Sewerage,Electricity,Water Supply",PKR5.35 Lakh,PKR17.5 Thousand,48 Months
107,Residential Plot,PKR32.5 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,,,,
108,Residential Plot,PKR31.25 Lakh,"Al-Raziq Garden, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,"Possesion,Sewerage,Electricity,Water Supply,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Other Nearby Places,Security Staff",PKR7.81 Lakh,PKR30 Thousand,30 Months
