,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities,advance,Monthly installment,Remaining installments
38,Residential Plot,PKR34 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,"Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff",,,
39,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
40,Residential Plot,PKR37 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
41,Residential Plot,PKR33 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,4 days ago,,,,
42,Residential Plot,PKR18 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places",,,
43,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Nearby Public Transport Service,Other Nearby Places,Other Facilities",,,
44,Residential Plot,PKR36 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
45,Residential Plot,PKR26 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
46,Residential Plot,PKR31 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
47,Residential Plot,PKR37 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
48,Residential Plot,PKR17.5 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
49,Residential Plot,PKR24 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
50,Residential Plot,PKR25 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 hours ago,"File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
51,Residential Plot,PKR2.5 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,6 hours ago,,,,
52,Residential Plot,PKR19 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,,,,
53,Residential Plot,PKR32 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
54,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
55,Residential Plot,PKR22 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
56,Residential Plot,PKR56 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
57,Residential Plot,PKR30 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,6 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
58,Residential Plot,PKR37 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
59,Plot File,PKR58 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
60,Residential Plot,PKR22 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,1 day ago,,,,
61,Residential Plot,PKR2.1 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,5 hours ago,"Park Facing,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
62,Residential Plot,PKR21 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
63,Residential Plot,PKR18.5 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
64,Residential Plot,PKR21 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
65,Residential Plot,PKR30 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
66,Residential Plot,PKR32 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,,,,
67,Residential Plot,PKR36 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
68,Residential Plot,PKR76 Lakh,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,3 days ago,,,,
69,Residential Plot,PKR21 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
70,Residential Plot,PKR23 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
71,Residential Plot,PKR44 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
72,Residential Plot,PKR76 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,3 days ago,,,,
73,Residential Plot,PKR17 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
74,Residential Plot,PKR17.5 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,,,,
75,Residential Plot,PKR67 Lakh,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,1 week ago,,,,
76,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 week ago,,,,
77,Residential Plot,PKR40 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,1 day ago,,,,
78,Plot File,PKR1.07 Crore,"LDA Road, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,,,,
79,Residential Plot,PKR60 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,,,,
80,Residential Plot,PKR35 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
81,Residential Plot,PKR38 Lakh,"LDA Road, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall",,,
82,Plot File,PKR22.5 Lakh,"LDA Road, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,,,,
