,Type,Price,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
26,Commercial Plot,PKR40 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Security Staff"
27,Commercial Plot,PKR28 Crore,"Gulberg, Lahore, Punjab",-,2.5 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
28,Commercial Plot,PKR35 Crore,"Gulberg, Lahore, Punjab",-,2 Kanal,For Sale,-,1 week ago,"Possesion,Corner,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall"
29,Commercial Plot,PKR70 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,
30,Commercial Plot,PKR30 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,8 hours ago,
31,Commercial Plot,PKR48 Crore,"Gulberg, Lahore, Punjab",-,1.9 Kanal,For Sale,-,3 days ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms)"
32,Residential Plot,PKR6.5 Crore,"Gulberg, Lahore, Punjab",-,1 Kanal,For Sale,-,4 days ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
33,Residential Plot,PKR56 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,5 days ago,"Sewerage,Electricity,Water Supply"
34,Commercial Plot,PKR40 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,
35,Commercial Plot,PKR80 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 week ago,"Sewerage,Electricity,Water Supply"
36,Commercial Plot,PKR80 Crore,"Gulberg, Lahore, Punjab",1,4.2 Kanal,For Sale,-,1 week ago,
37,Commercial Plot,PKR18 Crore,"Gulberg, Lahore, Punjab",-,1.5 Kanal,For Sale,-,2 weeks ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
38,Commercial Plot,PKR65 Crore,"Gulberg, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
39,Residential Plot,PKR7.5 Crore,"Gulberg, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,
40,Commercial Plot,PKR50 Crore,"Gulberg, Lahore, Punjab",6,2 Kanal,For Sale,6,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
41,Commercial Plot,PKR45 Crore,"Gulberg, Lahore, Punjab",-,2.1 Kanal,For Sale,-,2 weeks ago,
42,Commercial Plot,PKR1 Arab,"Gulberg, Lahore, Punjab",-,5 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
43,Commercial Plot,PKR40 Crore,"Gulberg, Lahore, Punjab",-,2 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
44,Residential Plot,PKR96.25 Crore,"Gulberg, Lahore, Punjab",-,3.8 Kanal,For Sale,-,2 weeks ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
45,Commercial Plot,PKR15 Crore,"Gulberg, Lahore, Punjab",-,1.2 Kanal,For Sale,-,2 weeks ago,"Possesion,Park Facing"
46,Residential Plot,PKR1.35 Arab,"Gulberg, Lahore, Punjab",-,9 Kanal,For Sale,-,2 weeks ago,
47,Commercial Plot,PKR70 Crore,"Gulberg, Lahore, Punjab",-,5 Kanal,For Sale,-,2 weeks ago,
48,Commercial Plot,PKR65 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
49,Commercial Plot,PKR55 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,3 weeks ago,
50,Residential Plot,PKR5 Crore,"Gulberg, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
51,Commercial Plot,PKR2.4 Arab,"Gulberg, Lahore, Punjab",-,24 Kanal,For Sale,-,3 weeks ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
52,Commercial Plot,PKR2.25 Arab,"Gulberg, Lahore, Punjab",-,9 Kanal,For Sale,-,10 hours ago,"Possesion,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
53,Commercial Plot,PKR68 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,4 weeks ago,
54,Commercial Plot,PKR14 Crore,"Gulberg, Lahore, Punjab",-,1.4 Kanal,For Sale,-,4 weeks ago,
55,Commercial Plot,PKR40 Crore,"Gulberg, Lahore, Punjab",-,2 Kanal,For Sale,-,4 weeks ago,
56,Commercial Plot,PKR1.25 Arab,"Gulberg, Lahore, Punjab",-,6 Kanal,For Sale,-,4 weeks ago,
57,Commercial Plot,PKR80 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,4 weeks ago,
58,Commercial Plot,PKR32 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,4 weeks ago,
59,Commercial Plot,PKR38 Crore,"Gulberg, Lahore, Punjab",-,2.1 Kanal,For Sale,-,4 weeks ago,
60,Commercial Plot,PKR45 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,4 weeks ago,
61,Industrial Land,PKR58 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 month ago,
62,Commercial Plot,PKR2.55 Arab,"Gulberg, Lahore, Punjab",1,8.5 Kanal,For Sale,1,1 month ago,
63,Commercial Plot,PKR72 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,1 month ago,
64,Commercial Plot,PKR65 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,2 months ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service"
65,Commercial Plot,PKR65 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,3 months ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Security Staff"
66,Residential Plot,PKR6 Crore,"Gulberg, Lahore, Punjab",-,1 Kanal,For Sale,-,3 months ago,"Possesion,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Sui Gas,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
67,Commercial Plot,PKR6 Crore,"Gulberg, Lahore, Punjab",-,5 Marla,For Sale,-,5 months ago,
68,Commercial Plot,PKR32 Crore,"Gulberg, Lahore, Punjab",-,1.1 Kanal,For Sale,-,7 months ago,"Possesion,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Shopping Malls"
69,Commercial Plot,PKR95 Crore,"Gulberg, Lahore, Punjab",-,4.2 Kanal,For Sale,-,8 months ago,
70,Commercial Plot,PKR80 Crore,"Gulberg, Lahore, Punjab",-,4 Kanal,For Sale,-,8 months ago,
71,Residential Plot,PKR1.94 Arab,"Gulberg, Lahore, Punjab",-,24 Kanal,For Sale,-,9 months ago,
