,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
57,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
58,Residential Plot,PKR39 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
59,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
60,Plot File,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,2 weeks ago,
61,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
62,Residential Plot,PKR41 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
63,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
64,Residential Plot,PKR46 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
65,Residential Plot,PKR75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
66,Residential Plot,PKR64 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
67,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
68,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
69,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
70,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
71,Residential Plot,PKR55 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
72,Commercial Plot,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
73,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
74,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
75,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
76,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
77,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
78,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
79,Residential Plot,PKR65 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,2 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
80,Residential Plot,PKR70 Lakh,PKR10.5 Lakh,PKR45 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,1 Kanal,For Sale,-,2 weeks ago,File
81,Residential Plot,PKR52.5 Lakh,PKR8 Lakh,PKR37 Thousand,60 Months,"Al Rehman Garden, Lahore, Punjab",-,14 Marla,For Sale,-,2 weeks ago,File
82,Plot File,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.6 Marla,For Sale,-,2 weeks ago,
83,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
84,Plot File,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
85,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
86,Plot File,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.6 Marla,For Sale,-,2 weeks ago,
87,Residential Plot,PKR55 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
88,Residential Plot,PKR77 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,7 Marla,For Sale,-,4 days ago,
89,Residential Plot,PKR29 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
90,Residential Plot,PKR69 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
91,Residential Plot,PKR58 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
92,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
93,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
94,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
95,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
96,Commercial Plot,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
97,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
98,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
99,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
100,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
101,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,2 weeks ago,
102,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
103,Residential Plot,PKR40 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
104,Plot File,PKR19.65 Lakh,PKR3.25 Lakh,PKR19 Thousand,25 Months,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 weeks ago,
105,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.6 Marla,For Sale,-,3 weeks ago,
106,Residential Plot,PKR59 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,10 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
107,Residential Plot,PKR33.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 weeks ago,"Possesion,File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
108,Residential Plot,PKR71 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",6,7 Marla,For Sale,5,4 weeks ago,
109,Residential Plot,PKR45 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 weeks ago,
110,Residential Plot,PKR39.5 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
111,Plot File,PKR19.65 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 weeks ago,
112,Residential Plot,PKR50 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
113,Residential Plot,PKR33 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
114,Residential Plot,PKR36 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
115,Residential Plot,PKR67 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
116,Plot File,PKR2.75 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,4 days ago,
117,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
118,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
119,Commercial Plot,PKR70.7 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
120,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
121,Residential Plot,PKR25 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
122,Plot File,PKR2.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
123,Residential Plot,PKR17.85 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,3.5 Marla,For Sale,-,3 days ago,
124,Plot File,PKR3.4 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
125,Residential Plot,PKR94 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,8 Marla,For Sale,-,4 days ago,
126,Residential Plot,PKR65 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,5 Marla,For Sale,-,4 days ago,
127,Residential Plot,PKR32.25 Lakh,PKR8.06 Lakh,PKR54 Thousand,30 Months,"Al Rehman Garden, Lahore, Punjab",-,3 Marla,For Sale,-,4 days ago,
128,Residential Plot,PKR48 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,4 Marla,For Sale,-,4 days ago,
129,Residential Plot,PKR72 Lakh,,,,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
130,Residential Plot,PKR76.5 Lakh,PKR19.13 Lakh,PKR1.5 Lakh,30 Months,"Al Rehman Garden, Lahore, Punjab",-,6 Marla,For Sale,-,4 days ago,
