,0,1
56,56,"Balloted,Boundary Wall,Electricity,Possesion,Sewerage,Water Supply"
57,57,"Distance From Airport (kms),Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls"
58,58,"Balloted,Electricity,Sewerage,Water Supply"
59,59,"Boundary Wall,Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
60,60,"Boundary Wall,Electricity,Possesion,Sui Gas,Water Supply"
61,61,Water Supply
62,62,"Balloted,Boundary Wall,Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
63,63,"Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Sewerage,Water Supply"
64,64,"Balloted,Boundary Wall,Corner,Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
65,65,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
66,66,"Balloted,Boundary Wall,Corner,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
67,67,Possesion
68,68,"Electricity,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
69,69,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Sewerage,Sui Gas,Water Supply"
70,70,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Possesion,Security Staff,Sewerage,Water Supply"
71,71,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
72,72,Nearby Public Transport Service
73,73,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
74,74,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
75,75,"Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls"
76,76,"Balloted,Boundary Wall,Corner,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
77,77,"Barbeque Area,Broadband Internet Access,Central Air Conditioning,Central Heating,Community Centre,Community Gym,Community Lawn or Garden,Community Swimming Pool,Day Care Centre,Dining Room,Double Glazed Windows,Drawing Room,Electricity Backup,Facilities for Disabled,First Aid or Medical Centre,Flooring,Furnished,Gym,Intercom,Jacuzzi,Kids Play Area,Laundry Room,Lounge or Sitting Room,Maintenance Staff,Mosque,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Steam Room,Study Room,Waste Disposal"
78,78,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Possesion,Security Staff,Sewerage,Water Supply"
79,79,"Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Possesion,Security Staff,Sewerage,Water Supply"
80,80,"Balloted,Boundary Wall,Disputed,Distance From Airport (kms),Electricity,File,Nearby Schools,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
81,81,"Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
82,82,"Balloted,Electricity,Possesion,Sewerage"
83,83,"Balloted,Boundary Wall,Corner,Electricity,Park Facing,Possesion,Sewerage,Water Supply"
84,84,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Security Staff,Sewerage,Water Supply"
85,85,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff,Sewerage,Sui Gas,Water Supply"
86,86,"Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
87,87,"Balloted,Electricity,File,Possesion,Sewerage,Water Supply"
88,88,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
89,89,"Balloted,Boundary Wall,Electricity,File,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
90,90,"Balloted,Boundary Wall,Corner,Electricity,Possesion,Sewerage,Water Supply"
91,91,"Distance From Airport (kms),Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places"
92,92,"Boundary Wall,Electricity,Sewerage,Water Supply"
93,93,"Balloted,Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
94,94,"Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
95,95,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
96,96,"Distance From Airport (kms),Nearby Hospitals,Nearby Restaurants,Nearby Schools"
97,97,"Boundary Wall,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Sewerage,Sui Gas,Water Supply"
98,98,"Balloted,Boundary Wall,Corner,Electricity,File,Possesion,Sewerage,Sui Gas,Water Supply"
99,99,"Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools"
100,100,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
101,101,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
102,102,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
103,103,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Schools,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
104,104,"Balloted,Boundary Wall,Disputed,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
105,105,"Distance From Airport (kms),Nearby Hospitals,Nearby Restaurants"
106,106,"Boundary Wall,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sewerage,Water Supply"
107,107,"Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places"
108,108,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
109,109,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
