,0,1
367,367,"Balloted,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff,Sewerage,Sui Gas,Water Supply"
368,368,"Balloted,Electricity,Sewerage,Sui Gas,Water Supply"
369,369,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Water Supply"
370,370,"Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sui Gas,Water Supply"
371,371,"Balloted,Boundary Wall,Electricity,Nearby Schools,Possesion,Sewerage,Water Supply"
372,372,"Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Water Supply"
373,373,"Corner,Electricity,Possesion,Sui Gas,Water Supply"
374,374,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
375,375,"Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Security Staff"
376,376,"Boundary Wall,Corner,Electricity,Nearby Hospitals,Nearby Schools,Possesion,Sewerage,Sui Gas,Water Supply"
377,377,"Balloted,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
378,378,"Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
379,379,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
380,380,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sui Gas"
381,381,"Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
382,382,"Balloted,Electricity,File,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
383,383,"Corner,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
384,384,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Water Supply"
385,385,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff"
386,386,"Balloted,Electricity,Sewerage"
387,387,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sui Gas,Water Supply"
388,388,"Distance From Airport (kms),Nearby Hospitals"
389,389,"Balloted,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Sewerage,Water Supply"
390,390,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
391,391,"Balloted,Corner,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Water Supply"
392,392,"Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff"
393,393,"Corner,Electricity,File,Possesion,Sewerage,Water Supply"
394,394,"Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Sui Gas,Water Supply"
395,395,"Balloted,Boundary Wall,Disputed,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
396,396,"Boundary Wall,Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
397,397,"Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
398,398,"Balloted,Boundary Wall,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
399,399,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Schools,Security Staff,Sewerage,Water Supply"
400,400,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
401,401,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
402,402,"Balloted,Boundary Wall,Electricity,Other Nearby Places,Possesion,Sewerage,Water Supply"
403,403,"Balloted,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Water Supply"
404,404,"Balloted,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Water Supply"
405,405,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Other Facilities,Possesion,Sewerage,Sui Gas,Water Supply"
406,406,"Boundary Wall,Corner,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Other Nearby Places,Possesion,Sewerage,Sui Gas,Water Supply"
407,407,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
408,408,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
409,409,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
410,410,"Balloted,Boundary Wall,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Water Supply"
411,411,"Balloted,Disputed,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
412,412,"Balloted,Disputed,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
413,413,"Balloted,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Possesion,Security Staff,Sewerage,Water Supply"
414,414,Nearby Schools
415,415,"Balloted,Boundary Wall,Corner,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
416,416,"Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
417,417,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sui Gas,Water Supply"
418,418,"Balloted,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
419,419,"Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Water Supply"
420,420,"Corner,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Water Supply"
421,421,"Corner,Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
422,422,"Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Water Supply"
423,423,"Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
424,424,"Possesion,Water Supply"
425,425,"Balloted,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sui Gas,Water Supply"
426,426,"Balloted,Sewerage"
427,427,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
428,428,"Balloted,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
429,429,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Sewerage,Sui Gas,Water Supply"
430,430,"Boundary Wall,Corner,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
431,431,"Balloted,Boundary Wall,Electricity,Nearby Shopping Malls,Sewerage,Sui Gas,Water Supply"
432,432,"Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
433,433,"Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff"
434,434,"Nearby Schools,Nearby Shopping Malls,Other Nearby Places"
435,435,"Boundary Wall,Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
436,436,"Balloted,Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Sewerage,Sui Gas,Water Supply"
437,437,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Water Supply"
438,438,"Corner,Electricity,Possesion,Sewerage,Water Supply"
439,439,"Balloted,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Sewerage,Sui Gas,Water Supply"
440,440,"Boundary Wall,Electricity,Nearby Schools,Other Nearby Places,Possesion,Water Supply"
441,441,"Electricity,File,Security Staff,Sewerage,Sui Gas,Water Supply"
442,442,"Electricity,File,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sewerage,Water Supply"
443,443,"Boundary Wall,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Water Supply"
444,444,"Nearby Hospitals,Nearby Restaurants,Nearby Schools"
445,445,"Balloted,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
446,446,"Balloted,Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage"
447,447,"Boundary Wall,Electricity,Park Facing,Possesion,Sewerage,Water Supply"
448,448,Other Facilities
449,449,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
450,450,"Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
451,451,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Sewerage,Sui Gas,Water Supply"
452,452,"Boundary Wall,Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas"
453,453,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Possesion,Security Staff,Sewerage,Water Supply"
454,454,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
455,455,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
456,456,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Security Staff,Sewerage"
457,457,"Balloted,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff,Sewerage,Sui Gas,Water Supply"
458,458,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Water Supply"
459,459,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
460,460,"Balloted,Boundary Wall,Disputed,Electricity,Possesion,Sewerage,Sui Gas,Water Supply"
461,461,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff"
462,462,"Balloted,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff,Sewerage,Sui Gas,Water Supply"
463,463,"Balloted,Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Sewerage,Sui Gas,Water Supply"
464,464,"Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Security Staff,Sewerage,Sui Gas,Water Supply"
465,465,"Electricity,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Sewerage,Sui Gas,Water Supply"
466,466,"Balloted,Boundary Wall,Corner,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
467,467,"Balloted,Corner,Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
468,468,"Balloted,Boundary Wall,Corner,Disputed,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Park Facing,Possesion,Sewerage,Sui Gas,Water Supply"
469,469,"Balloted,Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sewerage,Water Supply"
470,470,"Balloted,Boundary Wall,Disputed,Electricity,File,Possesion,Sewerage,Sui Gas,Water Supply"
471,471,"Balloted,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Sewerage,Water Supply"
472,472,"Balloted,Corner,Disputed,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Nearby Shopping Malls,Security Staff,Sui Gas"
473,473,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Sewerage,Water Supply"
474,474,"Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sui Gas"
475,475,"Distance From Airport (kms),Other Nearby Places"
476,476,"Balloted,Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
477,477,"Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Park Facing,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
478,478,"Electricity,File,Possesion,Sewerage,Sui Gas,Water Supply"
479,479,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Security Staff,Sewerage,Sui Gas,Water Supply"
480,480,"Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Sui Gas,Water Supply"
481,481,"Accessible by Road,Boundary Lines,Distance From Airport (kms),Electricity,Irrigation,Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Perimeter Fencing,Possesion,Security Staff,Sui Gas,Tube Wells"
482,482,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion,Sui Gas"
483,483,"Electricity,Possesion"
484,484,"Accessible by Road,Boundary Lines,Electricity,Irrigation,Land Fertility,Nearby Water Resources,Other Land Features,Perimeter Fencing,Possesion,Sui Gas,Tube Wells"
485,485,"Accessible by Road,Boundary Lines,Distance From Airport (kms),Irrigation,Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Perimeter Fencing,Possesion,Security Staff,Sui Gas,Tube Wells"
486,486,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion,Security Staff,Tube Wells"
487,487,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion"
488,488,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion,Tube Wells"
489,489,"Boundary Lines,Distance From Airport (kms),Irrigation,Land Fertility,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Possesion,Tube Wells"
490,490,"Balloted,Distance From Airport (kms),Electricity,File,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Security Staff,Sewerage,Sui Gas,Water Supply"
491,491,"Balloted,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Facilities,Other Nearby Places,Possesion,Security Staff"
492,492,"Accessible by Road,Boundary Lines,Disputed,Distance From Airport (kms),Electricity,Irrigation,Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Perimeter Fencing,Possesion,Sui Gas"
493,493,"Accessible by Road,Distance From Airport (kms),Electricity,Irrigation,Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Perimeter Fencing,Possesion,Sui Gas,Tube Wells"
494,494,"Balloted,Boundary Wall,Corner,Electricity,Park Facing,Possesion,Security Staff,Water Supply"
495,495,"Accessible by Road,Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Possesion,Tube Wells"
496,496,"Balloted,Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sewerage"
497,497,"Barbeque Area,Bathrooms,Bedrooms,Broadband Internet Access,Central Air Conditioning,Central Heating,Community Gym,Community Lawn or Garden,Community Swimming Pool,Day Care Centre,Dining Room,Distance From Airport (kms),Double Glazed Windows,Drawing Room,Facilities for Disabled,First Aid or Medical Centre,Floors,Furnished,Gym,Intercom,Jacuzzi,Kids Play Area,Kitchens,Laundry Room,Lawn or Garden,Lounge or Sitting Room,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Business and Communication Facilities,Other Community Facilities,Other Facilities,Other Healthcare and Recreation Facilities,Other Main Features,Other Nearby Places,Other Rooms,Parking Spaces,Powder Room,Prayer Room,Satellite or Cable TV Ready,Sauna,Security Staff,Servant Quarters,Steam Room,Store Rooms,Study Room,Swimming Pool,Waste Disposal"
498,498,"Distance From Airport (kms),Kitchens,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Business and Communication Facilities,Other Community Facilities,Other Facilities,Other Healthcare and Recreation Facilities,Other Nearby Places"
499,499,"Boundary Wall,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Nearby Places,Possesion,Sewerage,Sui Gas"
500,500,"Distance From Airport (kms),Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion,Tube Wells"
501,501,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Land Features,Other Nearby Places,Possesion,Security Staff,Tube Wells"
502,502,"Bathrooms,Bedrooms,Central Air Conditioning,Central Heating,Distance From Airport (kms),Double Glazed Windows,Facilities for Disabled,Furnished,Kitchens,Maintenance Staff,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Other Business and Communication Facilities,Other Community Facilities,Other Facilities,Other Healthcare and Recreation Facilities,Other Nearby Places,Other Rooms,Security Staff,Servant Quarters,Store Rooms,Waste Disposal"
503,503,"Boundary Lines,Distance From Airport (kms),Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Possesion,Sui Gas"
504,504,"Distance From Airport (kms),Irrigation,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Possesion,Tube Wells"
505,505,"Balloted,Boundary Wall,Corner,Distance From Airport (kms),Electricity,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Possesion,Security Staff,Sewerage,Sui Gas,Water Supply"
506,506,"Balloted,Boundary Wall,Corner,Electricity,Park Facing,Possesion,Security Staff,Sewerage,Water Supply"
507,507,"Electricity,Possesion,Tube Wells"
508,508,"Electricity,Possesion,Sewerage,Sui Gas"
509,509,"Accessible by Road,Boundary Lines,Distance From Airport (kms),Land Fertility,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Nearby Water Resources,Other Facilities,Other Land Features,Other Nearby Places,Possesion,Security Staff,Tube Wells"
